road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R734,L018,L029,0.06,1,1.2
R735,L003,L005,0.16,1,1.3
R736,L040,L034,0.1,1,1.2
R737,L034,L014,0.24,2,1.1
R738,L047,L030,0.25,2,1.3
R739,L022,L038,0.34,3,1.1
R740,L030,L039,0.08,1,1.1
R741,L047,L043,0.14,1,1.3
R742,L018,L005,0.35,3,1.2
R743,L037,L034,0.4,3,1.1
R744,L045,L003,0.6,5,1.0
R745,L016,L023,0.57,4,1.3
R746,L010,L009,0.17,1,1.3
R747,L026,L037,0.51,4,1.1
R748,L010,L020,0.48,4,1.2
R749,L013,L038,0.6,5,1.1
R750,L023,L030,0.26,2,1.3
R751,L047,L005,0.55,4,1.2
R752,L039,L019,0.57,4,1.0
R753,L005,L037,0.25,2,1.1
R754,L002,L042,0.34,3,1.2
R755,L012,L004,0.57,4,1.0
R756,L040,L022,0.52,4,1.3
R757,L017,L030,0.57,4,1.0
R758,L040,L046,0.48,4,1.2
R759,L002,L010,0.18,1,1.0
R760,L035,L044,0.4,3,1.1
R761,L043,L039,0.39,3,1.1
R762,L031,L003,0.52,4,1.2
R763,L046,L030,0.39,3,1.2
R764,L034,L018,0.13,1,1.0
R765,L024,L010,0.64,5,1.1
R766,L004,L035,0.35,3,1.1
R767,L048,L011,0.37,3,1.2
R768,L029,L032,0.18,1,1.2
R769,L001,L005,0.53,4,1.3
R770,L027,L025,0.62,5,1.1
R771,L046,L028,0.2,2,1.2
R772,L019,L006,0.25,2,1.3
R773,L021,L044,0.42,3,1.3
R774,L003,L029,0.16,1,1.1
R775,L020,L044,0.06,1,1.0
R776,L010,L001,0.13,1,1.2
R777,L042,L043,0.48,4,1.2
R778,L041,L045,0.06,1,1.1
R779,L033,L039,0.19,1,1.3
R780,L004,L021,0.09,1,1.0
R781,L003,L013,0.36,3,1.3
R782,L018,L001,0.25,2,1.0
R783,L048,L046,0.21,2,1.3
R784,L013,L043,0.12,1,1.0
R785,L026,L045,0.39,3,1.3
R786,L038,L035,0.65,5,1.1
R787,L041,L048,0.57,4,1.2
R788,L017,L031,0.56,4,1.2
R789,L031,L037,0.18,1,1.1
R790,L005,L034,0.27,2,1.1
R791,L030,L012,0.43,3,1.0
R792,L021,L025,0.27,2,1.3
R793,L026,L019,0.65,5,1.0
R794,L029,L041,0.34,3,1.1
R795,L034,L010,0.05,1,1.1
R796,L016,L040,0.27,2,1.2
R797,L004,L038,0.16,1,1.2
R798,L029,L006,0.37,3,1.3
R799,L019,L040,0.52,4,1.0
R800,L046,L029,0.28,2,1.0
R801,L046,L038,0.27,2,1.1
R802,L034,L027,0.35,3,1.0
R803,L013,L026,0.37,3,1.2
R804,L027,L038,0.13,1,1.3
R805,L004,L041,0.14,1,1.2
R806,L034,L017,0.1,1,1.3
R807,L026,L033,0.58,4,1.0
R808,L025,L028,0.56,4,1.2
R809,L014,L035,0.44,3,1.3
R810,L021,L003,0.21,2,1.3
R811,L046,L014,0.53,4,1.3
R812,L026,L047,0.32,2,1.1
R813,L028,L041,0.12,1,1.1
R814,L032,L012,0.06,1,1.1
R815,L035,L011,0.14,1,1.1
R816,L030,L007,0.17,1,1.0
R817,L029,L044,0.3,2,1.0
R818,L047,L012,0.31,2,1.3
R819,L008,L003,0.55,4,1.0
R820,L042,L034,0.37,3,1.2
R821,L032,L023,0.06,1,1.3
R822,L032,L018,0.57,4,1.0
R823,L020,L004,0.15,1,1.2
R824,L029,L031,0.2,2,1.2
R825,L012,L008,0.52,4,1.2
R826,L007,L048,0.38,3,1.1
R827,L030,L003,0.07,1,1.0
R828,L027,L042,0.47,4,1.3
R829,L035,L008,0.24,2,1.1
R830,L009,L016,0.49,4,1.1
R831,L037,L008,0.1,1,1.1
R832,L016,L005,0.41,3,1.0
R833,L040,L045,0.15,1,1.2
R834,L022,L006,0.54,4,1.3
R835,L027,L003,0.1,1,1.1
R836,L015,L044,0.25,2,1.0
R837,L025,L041,0.52,4,1.2
R838,L048,L038,0.37,3,1.0
R839,L037,L044,0.58,4,1.0
R840,L026,L043,0.52,4,1.2
R841,L039,L028,0.53,4,1.0
R842,L020,L032,0.41,3,1.0
R843,L043,L035,0.53,4,1.0
R844,L025,L018,0.25,2,1.1
R845,L021,L033,0.52,4,1.1
R846,L025,L009,0.61,5,1.2
R847,L043,L027,0.1,1,1.2
R848,L004,L042,0.35,3,1.2
R849,L018,L010,0.16,1,1.0
R850,L042,L018,0.43,3,1.1
R851,L036,L027,0.44,3,1.3
R852,L032,L046,0.27,2,1.2
R853,L024,L026,0.24,2,1.3
R854,L018,L008,0.17,1,1.3
R855,L035,L031,0.45,3,1.3
R856,L041,L008,0.21,2,1.0
R857,L045,L037,0.23,2,1.2
R858,L007,L039,0.46,4,1.3
R859,L020,L011,0.44,3,1.0
R860,L010,L035,0.49,4,1.3
R861,L022,L044,0.09,1,1.3
R862,L043,L016,0.4,3,1.3
R863,L020,L007,0.27,2,1.0
R864,L045,L034,0.09,1,1.2
R865,L009,L029,0.22,2,1.0
R866,L029,L038,0.38,3,1.0
R867,L037,L035,0.48,4,1.1
R868,L008,L026,0.28,2,1.3
R869,L035,L022,0.44,3,1.2
R870,L005,L042,0.34,3,1.1
R871,L028,L030,0.63,5,1.3
R872,L013,L005,0.49,4,1.0
R873,L048,L047,0.42,3,1.0
R874,L014,L027,0.06,1,1.2
R875,L023,L027,0.59,5,1.3
R876,L007,L022,0.11,1,1.1
R877,L033,L025,0.18,1,1.2
R878,L047,L025,0.15,1,1.3
R879,L047,L038,0.37,3,1.0
R880,L041,L014,0.05,1,1.1
R881,L029,L030,0.39,3,1.3
R882,L045,L031,0.41,3,1.0
R883,L032,L039,0.28,2,1.1
R884,L015,L001,0.29,2,1.1
R885,L030,L004,0.29,2,1.1
R886,L007,L046,0.11,1,1.1
R887,L040,L033,0.24,2,1.3
R888,L030,L014,0.12,1,1.1
R889,L008,L040,0.64,5,1.2
R890,L006,L024,0.21,2,1.2
R891,L037,L022,0.51,4,1.0
R892,L039,L014,0.36,3,1.3
R893,L037,L042,0.18,1,1.0
R894,L028,L004,0.16,1,1.2
R895,L029,L017,0.47,4,1.2
R896,L020,L023,0.07,1,1.3
R897,L040,L021,0.21,2,1.1
R898,L035,L002,0.25,2,1.2
R899,L016,L022,0.53,4,1.1
R900,L041,L022,0.27,2,1.0
R901,L001,L046,0.21,2,1.0
R902,L029,L040,0.46,4,1.2
R903,L022,L017,0.63,5,1.0
R904,L045,L014,0.43,3,1.1
R905,L010,L036,0.12,1,1.3
R906,L042,L033,0.46,4,1.2
R907,L029,L047,0.58,4,1.3
R908,L025,L015,0.11,1,1.1
R909,L043,L038,0.24,2,1.2
R910,L005,L019,0.06,1,1.1
R911,L035,L047,0.16,1,1.2
R912,L025,L024,0.19,1,1.3
R913,L019,L002,0.33,3,1.3
R914,L018,L024,0.32,2,1.1
R915,L033,L015,0.34,3,1.1
R916,L037,L040,0.57,4,1.3
R917,L014,L007,0.1,1,1.2
R918,L021,L007,0.17,1,1.2
R919,L046,L031,0.34,3,1.1
R920,L033,L001,0.43,3,1.0
R921,L029,L014,0.56,4,1.2
R922,L005,L026,0.07,1,1.1
R923,L005,L031,0.27,2,1.3
R924,L030,L018,0.19,1,1.2
R925,L046,L002,0.39,3,1.1
R926,L015,L028,0.15,1,1.3
R927,L048,L018,0.63,5,1.3
R928,L028,L007,0.63,5,1.2
R929,L012,L009,0.3,2,1.3
R930,L033,L038,0.12,1,1.1
R931,L034,L036,0.17,1,1.0
R932,L048,L004,0.42,3,1.3
R933,L023,L046,0.51,4,1.2
R934,L044,L011,0.29,2,1.0
R935,L001,L039,0.37,3,1.2
R936,L002,L005,0.53,4,1.1
R937,L021,L019,0.3,2,1.3
R938,L004,L045,0.63,5,1.1
R939,L013,L039,0.61,5,1.0
R940,L010,L013,0.53,4,1.3
R941,L040,L006,0.54,4,1.3
R942,L034,L035,0.25,2,1.0
R943,L045,L020,0.29,2,1.2
R944,L021,L006,0.23,2,1.2
R945,L046,L034,0.57,4,1.3
R946,L028,L031,0.09,1,1.1
R947,L024,L035,0.32,2,1.2
R948,L018,L009,0.07,1,1.1
R949,L005,L030,0.46,4,1.0
R950,L012,L039,0.54,4,1.3
R951,L021,L012,0.49,4,1.2
R952,L040,L023,0.29,2,1.2
R953,L043,L004,0.26,2,1.1
R954,L021,L009,0.56,4,1.0
R955,L021,L002,0.59,5,1.0
R956,L013,L030,0.43,3,1.2
R957,L031,L025,0.24,2,1.3
R958,L014,L024,0.38,3,1.0
R959,L046,L009,0.31,2,1.0
R960,L012,L034,0.22,2,1.2
R961,L021,L020,0.64,5,1.1
R962,L032,L035,0.5,4,1.0
R963,L036,L011,0.16,1,1.0
R964,L033,L046,0.59,5,1.1
R965,L033,L030,0.61,5,1.1
R966,L029,L002,0.3,2,1.2
R967,L015,L027,0.18,1,1.3
R968,L047,L008,0.5,4,1.1
R969,L018,L028,0.61,5,1.0
R970,L032,L001,0.32,2,1.0
R971,L044,L027,0.14,1,1.3
R972,L011,L027,0.26,2,1.3
R973,L019,L012,0.3,2,1.3
R974,L046,L045,0.55,4,1.1
R975,L036,L001,0.07,1,1.3
R976,L044,L026,0.62,5,1.2
R977,L044,L010,0.43,3,1.3
R978,L042,L012,0.22,2,1.1
R979,L041,L031,0.12,1,1.2
R980,L039,L037,0.52,4,1.2
R981,L025,L005,0.27,2,1.0
R982,L019,L032,0.15,1,1.3
R983,L020,L015,0.18,1,1.3
R984,L036,L006,0.51,4,1.1
R985,L003,L002,0.25,2,1.1
R986,L002,L044,0.47,4,1.1
R987,L011,L012,0.59,5,1.2
R988,L040,L044,0.59,5,1.3
R989,L010,L004,0.6,5,1.1
R990,L033,L045,0.36,3,1.0
R991,L043,L040,0.54,4,1.2
R992,L036,L017,0.53,4,1.2
R993,L010,L028,0.51,4,1.3
R994,L019,L038,0.35,3,1.0
R995,L009,L007,0.28,2,1.0
R996,L048,L010,0.54,4,1.2
R997,L039,L031,0.58,4,1.0
R998,L047,L019,0.26,2,1.1
R999,L008,L042,0.16,1,1.2
R1000,L040,L020,0.63,5,1.0
R1001,L035,L040,0.56,4,1.3
R1002,L044,L008,0.38,3,1.3
R1003,L036,L032,0.51,4,1.2
R1004,L043,L012,0.27,2,1.1
R1005,L020,L019,0.63,5,1.1
R1006,L044,L019,0.61,5,1.1
R1007,L028,L040,0.37,3,1.3
R1008,L038,L008,0.15,1,1.0
R1009,L028,L020,0.09,1,1.3
R1010,L019,L033,0.07,1,1.0
R1011,L014,L028,0.21,2,1.3
R1012,L006,L016,0.59,5,1.0
R1013,L005,L010,0.1,1,1.0
R1014,L007,L025,0.35,3,1.3
R1015,L009,L043,0.46,4,1.1
R1016,L046,L018,0.15,1,1.3
R1017,L006,L035,0.49,4,1.1
R1018,L010,L003,0.57,4,1.0
R1019,L029,L042,0.52,4,1.1
R1020,L015,L040,0.22,2,1.1
R1021,L025,L035,0.22,2,1.3
R1022,L021,L047,0.46,4,1.3
R1023,L048,L012,0.34,3,1.2
R1024,L015,L019,0.11,1,1.1
R1025,L003,L037,0.25,2,1.0
R1026,L025,L011,0.53,4,1.0
R1027,L024,L046,0.15,1,1.3
R1028,L036,L035,0.13,1,1.3
R1029,L029,L048,0.55,4,1.1
R1030,L038,L045,0.63,5,1.1
R1031,L030,L035,0.19,1,1.1
R1032,L039,L002,0.13,1,1.2
R1033,L020,L006,0.62,5,1.3
R1034,L032,L002,0.42,3,1.2
R1035,L013,L042,0.48,4,1.2
R1036,L036,L039,0.39,3,1.1
R1037,L031,L038,0.37,3,1.3
R1038,L007,L035,0.31,2,1.2
R1039,L042,L023,0.27,2,1.3
R1040,L016,L014,0.1,1,1.2
R1041,L023,L003,0.24,2,1.3
R1042,L006,L044,0.27,2,1.3
R1043,L014,L010,0.44,3,1.0
R1044,L006,L002,0.07,1,1.1
R1045,L028,L005,0.39,3,1.1
R1046,L018,L044,0.35,3,1.1
R1047,L033,L006,0.11,1,1.3
R1048,L039,L016,0.64,5,1.3
R1049,L048,L005,0.48,4,1.1
R1050,L026,L001,0.62,5,1.1
R1051,L002,L038,0.11,1,1.3
R1052,L016,L029,0.22,2,1.0
R1053,L023,L026,0.15,1,1.0
R1054,L046,L037,0.52,4,1.2
R1055,L031,L016,0.26,2,1.3
R1056,L010,L040,0.49,4,1.2
R1057,L034,L025,0.62,5,1.1
R1058,L036,L019,0.61,5,1.0
R1059,L036,L044,0.61,5,1.0
R1060,L009,L040,0.57,4,1.1
R1061,L038,L028,0.48,4,1.3
R1062,L037,L029,0.57,4,1.2
R1063,L011,L033,0.31,2,1.0
R1064,L031,L040,0.63,5,1.1
R1065,L027,L047,0.17,1,1.0
R1066,L020,L029,0.59,5,1.3
R1067,L003,L047,0.09,1,1.1
R1068,L032,L021,0.07,1,1.3
R1069,L037,L002,0.4,3,1.3
R1070,L022,L002,0.11,1,1.2
R1071,L038,L010,0.63,5,1.2
R1072,L042,L020,0.22,2,1.2
R1073,L032,L022,0.6,5,1.1
R1074,L014,L048,0.57,4,1.1
R1075,L031,L043,0.47,4,1.1
R1076,L011,L038,0.17,1,1.1
R1077,L042,L022,0.64,5,1.2
R1078,L028,L012,0.09,1,1.2
R1079,L016,L019,0.54,4,1.2
R1080,L022,L030,0.08,1,1.2
R1081,L020,L046,0.11,1,1.1
R1082,L036,L012,0.07,1,1.2
R1083,L021,L027,0.06,1,1.0
R1084,L003,L034,0.22,2,1.1
R1085,L042,L032,0.08,1,1.0
R1086,L006,L037,0.29,2,1.1
R1087,L039,L035,0.26,2,1.1
R1088,L026,L018,0.22,2,1.0
R1089,L039,L008,0.25,2,1.2
R1090,L047,L031,0.45,3,1.2
R1091,L016,L038,0.11,1,1.3
R1092,L003,L043,0.23,2,1.0
R1093,L041,L001,0.1,1,1.1
R1094,L048,L025,0.39,3,1.3
R1095,L047,L009,0.55,4,1.1
R1096,L025,L014,0.34,3,1.2
R1097,L023,L008,0.17,1,1.3
R1098,L015,L017,0.28,2,1.0
R1099,L009,L037,0.31,2,1.0
R1100,L042,L038,0.41,3,1.1
R1101,L032,L048,0.64,5,1.0
R1102,L003,L025,0.32,2,1.0
R1103,L031,L004,0.21,2,1.2
R1104,L037,L033,0.55,4,1.3
R1105,L048,L013,0.22,2,1.0
R1106,L012,L023,0.65,5,1.2
R1107,L021,L026,0.53,4,1.2
R1108,L003,L033,0.1,1,1.3
R1109,L036,L003,0.28,2,1.2
R1110,L035,L027,0.33,3,1.3
R1111,L014,L022,0.42,3,1.1
R1112,L048,L008,0.35,3,1.0
R1113,L009,L015,0.23,2,1.0
R1114,L030,L040,0.27,2,1.0
R1115,L040,L032,0.36,3,1.1
R1116,L011,L043,0.13,1,1.3
R1117,L008,L020,0.39,3,1.2
R1118,L025,L004,0.48,4,1.1
R1119,L039,L046,0.49,4,1.3
R1120,L019,L031,0.23,2,1.0
R1121,L044,L031,0.5,4,1.3
R1122,L044,L039,0.58,4,1.0
R1123,L019,L001,0.27,2,1.3
R1124,L048,L028,0.25,2,1.1
R1125,L012,L005,0.39,3,1.2
R1126,L018,L007,0.5,4,1.3
R1127,L038,L001,0.17,1,1.0
R1128,L041,L026,0.46,4,1.1
